Ingredient,Protein,Fat,Fiber,Calcium,Phosphorus,Lysine,Methionine,Threonine,Tryptophan
Alfalfa pellets,0.17,2.90,14.13,1.54,0.29,0.75,0.002159,0.006664,0.002771
Amaranth seeds,0.14,0.07,7,0.001,0.0056,0.75,0.0023,0.0056,0.0018
Austrian peas,22.90,0.80,,,,,,,
Barley,12.20,1.80,,,,,,,
Black oil sunflower seeds,0.16,0.30,,,,,,,
Brewer's yeast,45.00,0.02,,,,,,,
Brown rice,8.30,2.80,,,,,,,
Buckwheat,11.30,2.20,,,,,,,
Canadian peas,23.20,1.50,,,,,,,
Canary seeds,16.60,5.90,,,,,,,
Corn (whole),11.10,3.80,,,,,,,
Fish meal,62.00,9.80,,,,,,,
Flax seeds,24.00,38.00,,,,,,,
German millet,11.00,4.20,,,,,,,
Gray-striped sunflower seeds,16.10,0.39,,,,,,,
Hard red wheat,15.50,0.02,,,,,,,
Hemp seeds (whole),25.00,30.00,,,,,,,
Hemp seeds (shelled),36.00,47.00,,,,,,,
Hemp seed meal,41.00,10.00,,,,,,,
Kamut,18.00,2.00,,,,,,,
Kelp (granules or powder),8.00,2.60,,,,,,,
Lentils,26.00,0.01,,,,,,,
Maple peas,25.30,1.10,,,,,,,
Millet (red or white),11.60,3.50,,,,,,,
Milo (red or white),8.90,0.03,,,,,,,
Nyjer seeds,16.00,32.00,,,,,,,
Oats,16.90,6.90,,,,,,,
Peanuts (raw),26.00,49.00,,,,,,,
Popcorn,10.70,3.20,,,,,,,
Pumpkin seeds,0.25,46.00,,,,,,,
Quinoa,0.14,6.00,,,,,,,
Rye,12.50,3.00,,,,,,,
Safflower seeds,0.14,38.50,,,,,,,
Sesame seeds,0.25,50.00,,,,,,,
Soft white wheat,11.00,0.02,,,,,,,
Spelt,0.15,0.02,,,,,,,
Split peas,25.00,0.01,,,,,,,
Triticale,14.00,2.00,,,,,,,
Vetch peas,26.30,0.90,,,,,,,
Wild rice,15.00,1.00,,,,,,,
